,spectralKurtosis,spectralRolloffPoint,spectralSkewness,spectralSlope,spectralSpread,harmonicRatio,pitch,zerocrossrate,shortTimeEnergy
5254,49.1380004347732,3186.91148775894,4.14024316797197,-4.14594363796297e-08,1190.31984553319,238.275171115009,0.584714926680979,0.200344279661017,2.77161979389316
273,104.30521405552496,2723.94247038917,5.428528780746401,-3.90732871735706e-08,1172.9757562456286,144.563830570091,0.406722619267382,0.1618945642978,2.24602246279126
3125,103.643680996147,3570.64393939394,5.5674536689343,-7.28857045758915e-08,1181.07404581486,138.640707410051,0.458913129438372,0.222449100378788,3.84102726924071
4098,79.9275710793191,2702.2792022792,5.69930127501355,-6.25866191011942e-08,949.810865115458,147.011037883267,0.532984092922113,0.173517628205128,3.34138018053622
192,105.908374172423,2697.34513274336,5.73208360245615,-8.20877894834326e-08,816.593802472912,163.254383335143,0.521919066566023,0.197829092920354,4.48698024092341
2646,45.4384847745803,3074.15902140673,4.12554588584843,-9.78493803521519e-08,1082.89936943879,183.240025538128,0.552499095730519,0.157783830275229,5.78264171618531
3566,17.1317949789663,6617.21611721612,1.19682328517445,-5.1776340581815e-09,2072.55824872847,188.903205604618,0.294378998501617,0.345979281135531,0.262170525656937
2523,128.308245835659,1763.24786324786,7.75667523374044,-5.44677339169352e-08,766.301385664246,228.36578826821,0.394544254671073,0.0993656517094017,3.17477619843126
703,69.2389913411037,2588.19188191882,5.02083335864057,-4.68540593464427e-08,972.373889903629,230.374359930634,0.409985064209012,0.150834102091021,2.47700707563904
2841,137.720579342565,1601.23456790124,7.96389999163132,-1.73416075910716e-07,615.399961023761,276.250275157239,0.467854500902369,0.111601631393298,9.32147557655381
4528,175.806905700907,1619.86301369863,8.4073141282174,-7.58919459734216e-08,634.987869026899,277.89850601788,0.425645288042414,0.108954052511416,4.29138502856428
2964,113.800550225561,2739.06485671192,6.5696452718666,-5.91326082306697e-08,937.490230196735,225.193771252461,0.577277779921631,0.171799585218703,3.27076864682842
1810,73.1702400823051,1998.31223628692,6.05421442209078,-5.70589386475857e-08,883.210426438909,221.405565003879,0.404269607696242,0.118097310126582,3.08702114571592
2996,108.056026531246,2526.76767676768,6.25444262439178,-8.33274044033349e-08,911.626820763371,172.379109766827,0.514638996543981,0.16740845959596,4.68686633885795
4325,14.6558244312932,4576.84887459807,2.16430697690772,-9.67698679258154e-08,1557.93794982765,198.452095587205,0.508233896444022,0.265102491961415,5.70456532339465
3837,72.2646700894984,3021.78217821782,5.18168467261856,-5.27241931019502e-08,1061.70761218653,147.126147429687,0.494165741240684,0.189371905940594,2.8104042047488
196,147.667895980918,2196.85185185185,6.618589353829,-5.37409628369451e-08,782.606081153474,156.650678360787,0.459202801311976,0.131556712962963,2.79533563424998
1830,174.586075356912,751.851851851852,9.61951859350085,-1.0652467665312e-07,361.476416349186,293.849699994837,0.459063360829468,0.0543499228395062,5.5479077759188
1774,67.1980459116893,1467.23744292237,6.12332605733645,-6.80810063566843e-08,691.450819249534,234.500148212225,0.395751687424172,0.0957512842465753,3.61430982852272
